chapter_no,section_no,chapter_title,section_title,primary_verdict,textbook_verification,source_modules,first_pass_report,cross_review_report
25,25.2,Matchings in Bipartite Graphs,The stable-marriage problem,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_25.Section_25_2_Stable_Marriage;CLRSLean.FourthEdition.Chapter_25.Section_25_2_Stable_Marriage.S1_Preference_Model;CLRSLean.FourthEdition.Chapter_25.Section_25_2_Stable_Marriage.S2_Gale_Shapley;CLRSLean.FourthEdition.Chapter_25.Section_25_2_Stable_Marriage.S3_Optimality,chapters-14-27.md,cross-review-14-27.md
25,25.3,Matchings in Bipartite Graphs,The Hungarian algorithm for the assignment problem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_25.Section_25_3_Hungarian_Algorithm,chapters-14-27.md,cross-review-14-27.md
26,26.1,Parallel Algorithms,The basics of fork-join parallelism,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_26.Section_26_1_Multithreading_Model,chapters-14-27.md,cross-review-14-27.md
26,26.2,Parallel Algorithms,Parallel matrix multiplication,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_26.Section_26_2_4_Algorithms,chapters-14-27.md,cross-review-14-27.md
26,26.3,Parallel Algorithms,Parallel merge sort,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_26.Section_26_2_4_Algorithms,chapters-14-27.md,cross-review-14-27.md
27,27.1,Online Algorithms,Waiting for an elevator,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_27.Section_27_1_Waiting_For_Elevator,chapters-14-27.md,cross-review-14-27.md
27,27.2,Online Algorithms,Maintaining a search list,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_27.Section_27_2_Maintaining_A_Search_List,chapters-14-27.md,cross-review-14-27.md
27,27.3,Online Algorithms,Online caching,CRITICAL,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_27.Section_27_3_Online_Caching,chapters-14-27.md,cross-review-14-27.md
28,28.1,Matrix Operations,Solving systems of linear equations,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_28.Section_28_1_Linear_Equations,chapters-28-35.md,cross-review-28-35.md
28,28.2,Matrix Operations,Inverting matrices,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_28.Section_28_2_Inverting_Matrices,chapters-28-35.md,cross-review-28-35.md
28,28.3,Matrix Operations,Symmetric positive-definite matrices and least-squares approximation,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_28.Section_28_3_Symmetric_Positive_Definite,chapters-28-35.md,cross-review-28-35.md
29,29.1,Linear Programming,Linear programming formulations and algorithms,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_29.Section_29_1_Standard_And_Slack_Forms,chapters-28-35.md,cross-review-28-35.md
29,29.2,Linear Programming,Formulating problems as linear programs,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_29.Section_29_2_Formulating_Problems_As_Linear_Programs,chapters-28-35.md,cross-review-28-35.md
29,29.3,Linear Programming,Duality,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_29.Section_29_3_Duality,chapters-28-35.md,cross-review-28-35.md
30,30.1,Polynomials and the FFT,Representing polynomials,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_30.Section_30_1_Representing_Polynomials,chapters-28-35.md,cross-review-28-35.md
30,30.2,Polynomials and the FFT,The DFT and FFT,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_30.Section_30_2_DFT_And_FFT,chapters-28-35.md,cross-review-28-35.md
30,30.3,Polynomials and the FFT,FFT circuits,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_30.Section_30_3_Efficient_FFT_Implementations,chapters-28-35.md,cross-review-28-35.md
31,31.1,Number-Theoretic Algorithms,Elementary number-theoretic notions,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_1_Elementary_Number_Theory,chapters-28-35.md,cross-review-28-35.md
31,31.2,Number-Theoretic Algorithms,Greatest common divisor,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_2_Greatest_Common_Divisor,chapters-28-35.md,cross-review-28-35.md
31,31.3,Number-Theoretic Algorithms,Modular arithmetic,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_3_Modular_Arithmetic,chapters-28-35.md,cross-review-28-35.md
31,31.4,Number-Theoretic Algorithms,Solving modular linear equations,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_4_Solving_Modular_Linear_Equations,chapters-28-35.md,cross-review-28-35.md
31,31.5,Number-Theoretic Algorithms,The Chinese remainder theorem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_5_Chinese_Remainder_Theorem,chapters-28-35.md,cross-review-28-35.md
31,31.6,Number-Theoretic Algorithms,Powers of an element,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_6_Powers_Of_An_Element,chapters-28-35.md,cross-review-28-35.md
31,31.7,Number-Theoretic Algorithms,The RSA public-key cryptosystem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_7_RSA,chapters-28-35.md,cross-review-28-35.md
31,31.8,Number-Theoretic Algorithms,Primality testing,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_31.Section_31_8_Primality_Testing,chapters-28-35.md,cross-review-28-35.md
32,32.1,String Matching,The naive string-matching algorithm,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_32.Section_32_1_String_Model,chapters-28-35.md,cross-review-28-35.md
32,32.2,String Matching,The Rabin–Karp algorithm,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_32.Section_32_2_Rabin_Karp,chapters-28-35.md,cross-review-28-35.md
32,32.3,String Matching,String matching with finite automata,MAJOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_32.Section_32_3_Finite_Automata,chapters-28-35.md,cross-review-28-35.md
32,32.4,String Matching,The Knuth–Morris–Pratt algorithm,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_32.Section_32_4_Knuth_Morris_Pratt,chapters-28-35.md,cross-review-28-35.md
32,32.5,String Matching,Suffix arrays,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_32.Section_32_5_Suffix_Arrays,chapters-28-35.md,cross-review-28-35.md
33,33.1,Machine-Learning Algorithms,Clustering,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_33.Section_33_1_Clustering,chapters-28-35.md,cross-review-28-35.md
33,33.2,Machine-Learning Algorithms,Multiplicative-weights algorithms,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_33.Section_33_2_Multiplicative_Weights,chapters-28-35.md,cross-review-28-35.md
33,33.3,Machine-Learning Algorithms,Gradient descent,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_33.Section_33_3_Gradient_Descent,chapters-28-35.md,cross-review-28-35.md
34,34.1,NP-Completeness,Polynomial time,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_34.Section_34_1_Polynomial_Time,chapters-28-35.md,cross-review-28-35.md
34,34.2,NP-Completeness,Polynomial-time verification,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_34.Section_34_2_Polynomial_Time_Verification,chapters-28-35.md,cross-review-28-35.md
34,34.3,NP-Completeness,NP-completeness and reducibility,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_34.Section_34_3_NP_Completeness_And_Reducibility,chapters-28-35.md,cross-review-28-35.md
34,34.4,NP-Completeness,NP-completeness proofs,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_34.Section_34_4_NP_Completeness_Proofs,chapters-28-35.md,cross-review-28-35.md
34,34.5,NP-Completeness,NP-complete problems,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_34.Section_34_5_NP_Complete_Problems,chapters-28-35.md,cross-review-28-35.md
35,35.1,Approximation Algorithms,The vertex-cover problem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_35.Section_35_1_The_Vertex_Cover_Problem,chapters-28-35.md,cross-review-28-35.md
35,35.2,Approximation Algorithms,The traveling-salesperson problem,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_35.Section_35_2_The_Traveling_Salesperson_Problem,chapters-28-35.md,cross-review-28-35.md
35,35.3,Approximation Algorithms,The set-covering problem,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_35.Section_35_3_The_Set_Covering_Problem,chapters-28-35.md,cross-review-28-35.md
35,35.4,Approximation Algorithms,Randomization and linear programming,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_35.Section_35_4_Randomization_And_Linear_Programming,chapters-28-35.md,cross-review-28-35.md
35,35.5,Approximation Algorithms,The subset-sum problem,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_35.Section_35_5_The_Subset_Sum_Problem,chapters-28-35.md,cross-review-28-35.md
